id;proj_no;proj_name;regist_date;description;active;area_id;location_id;region_id;type_activity_id;proj_id
14;56;ÇáÔÑßÉ ÇááíÈíÉ ÇáãÕÑíÉ ááÕäÇÚÇÊ ÇáæÑŞíÉ;;;true;1;;2;;14
15;57;ÔÑßÉ ÏßÓ ÇáåäÏÓíÉ áÎÏãÇÊ ÇáÍİÑ;;;true;5;;2;;15
16;58;ÔÑßÉ ÈæÚØäí áÕäÇÚÉ ÇáãÔÑæÈÇÊ;;;true;1;;2;;16
17;59;ãÕäÚ ÇáÑíÍÇä;;;true;1;;2;;17
18;60;ÔÑßÉ ÇáÏÑÚ ÇáÇåáíÉ ááÇÓÊËãÇÑÇÊ ÇáÕäÇÚíÉ;;;true;1;;2;;18
19;76;ãÕäÚ ÇáÇÈíÇÑ áÇäÊÇÌ ÇáÏŞíŞ;;;true;1;;2;;19
20;77;ÔÑßÉ ÇáÍíÇÉ áÕäÇÚÉ ÇáÏŞíŞ;;;true;1;;2;;20
21;78;ÇáÌæÏÉ ÇáİÇÆŞÉ áÕäÇÚÉ ÇáÏŞíŞ;;;true;1;;2;;21
22;79;ÔÑßÉ ĞÇÊ ÇáÚãÇÏ áÕäÇÚÉ ÇáÏŞíŞ;;;true;1;;2;;22
23;80;ÔÑßÉ ÇÑÖ ÇáØÚÇã áÕäÇÚÉ ÇáÏŞíŞ;;;true;1;;2;;23
24;96;ÇáãÓÊÔİì ÇááíÈí ÇáÇæÑæÈí;;;true;3;;2;;24
25;97;ÔÑßÉ ÇáÖíÇİÉ áÕäÇÚÉ ÇáãßÑæäÉ;;;true;1;;2;;25
26;98;ÔÑßÉ ÇáİæÒ áØÍä ÇáÛáÇá;;;true;1;;2;;26
27;99;ÇáÓæÇæÉ áÕäÇÚÉ ÇáÇØÇÑÇÊ;;;true;1;;2;;27
28;100;ãÕäÚ ÇíÈÇá;;;true;1;;2;;28
29;66;İäÏŞ äÒá  ÇáÑÇÍÉ;;;true;2;;2;;29
30;67;İäÏŞ ãÑÍÈÇ ÇáÓíÇÍí;;;true;2;;2;;30
31;68;İäÏŞ áÄáÄÉ ÇáÎáíÌ ÇáÈíÖÇÁ;;;true;2;;2;;31
32;69;İäÏŞ ÇáÏæÌÇá;;;true;2;;2;;32
33;70;ãäÊÌÚ ÇÈæáæ ÔÍÇÊ;;;true;2;;2;;33
34;62;ãÓÊÔİì ÏÇÑ ÇáÚíæä ÇáÇÓÊËãÇÑí;;;true;3;;2;;34
35;63;İäÏŞ ÇáäæÑÇä ááÎÏãÇÊ ÇáÓíÇÍíÉ;;;true;2;;2;;35
36;64;İäÏŞ ÇáİÖíá ÇáÓíÇÍí;;;true;2;;2;;36
37;65;İäÏŞ ÇáãäÇÑÉ ÓæÓå;;;true;2;;2;;37
38;41;ÇáÔÑßÉ ÇáÚÇãÉ ááÏÇÆä;;;true;1;;2;;38
39;42;ÇáÔÑßÉ ÇááíÈíÉ áÕÊÇÚÉ ÇáÏÑÌÇÊ ÇáãÓÇåãÉ;;;true;1;;2;;39
40;81;ÔÑßÉ ÇáÑÇÍÉ ááÇÓİäÌ;;;true;1;;2;;40
41;82;ãÔÑæÚ ÇáÎÖÑÇÁ ÇáÒÑÇÚí;;;true;8;;2;;41
42;83;ÇáÔÑßÉ ÇááíÈíÉ ÇáäÑæÌíÉ áÕäÇÚÉ ÇáÇÓãÏÉ;;;true;1;;3;;42
43;101;ÔÑßÉ ÇáÑÇæäÏ;;;true;2;;2;;43
44;102;ÔÑßÉ ÇáÈÑÏí ááÇÓÊËãÇÑ;;;true;2;;2;;44
45;106;ÔÑßÉ ÏíäæÓ;;;true;5;;2;;45
46;107;ÇáÔÑßÉ ÇááíÈíÉ ÇáÇãÑÇÊíÉ áÊßÑíÑ ÇáäİØ;;;true;5;;3;;46
47;108;ÔÑßÉ İÇÑã İíÒíßæ;;;true;5;;2;;47
48;50;ãØÍä ÛáÇá ÇáãÑÌ;;;true;1;;2;;48
49;51;ãÕäÚ ÛáÇá ØÈÑŞ;;;true;1;;2;;49
50;19;ÔÑßÉ ĞÇÊ ÇáÚãÇÏ áÕäÇÚÉ ÇáÏŞíŞ;;;true;1;;1;;50
51;8;ÔÑßÉ ÏÇææ ØÑÇÈáÓ ááÇÓÊËãÇÑ æÇáÊäãíÉ ÇáÓíÇÍíÉ;;;true;2;;1;;51
52;9;ãÔÑæÚ ãÌãÚ áÊÌåíÒ æ ÊÕäíÚ ÇááÍæã (ÇáÌæÏ ÇáÏæáíÉ ááãæÇÔì æÇááÍæã );;;true;1;;1;;52
53;5;ÇáÔÑßÉ ÇááíÈíÉ ááÅÓÊËãÇÑ æÊÔÛíá ÇáãÑÇİŞ ÇáÕÍíÉ;;;true;3;;1;;53
54;12;ÈÑÌ ÇáãÏíäÉ ááÅÓÊËãÇÑ ÇáÓíÇÍí;;;true;2;;1;;54
55;3;ÔÑßÉ ÇãíÊíß áíÈíÇ áÕäÇÚÉ ÇäÇÈíÈ Ìí ÇÑ Èí;;;true;1;;1;;55
56;1;ÔÑßÉ ÃİÑíŞíÇ áÊÚÈÆÉ ÇáãÔÑæÈÇÊ ( ÈÈÓí ßæáÇ);;;true;1;;1;;56
57;16;"ãÕäÚ áÊßÑíÑ æÊÚÈÆÉ ÇáÒíæÊ ÇáäÈÇÊíÉ "" ÔÑßÉ ÇáÈÑßÉ """;;;true;1;;1;;57
58;14;ÔÑßÉ ÇáãÓÊŞÈá áÕäÇÚÉ ÇáÃÌÑ;;;true;1;;1;;58
59;7;ÔÑßÉ ØåÇÉ ÇáÓãÇÁ ááÊãæíä ÇáÌæí ÇáãÓÇåãÉ;;;true;5;;1;;59
60;21;İäÏŞ ÇáÏÈáæãÇÓí ÇáÓíÇÍí;;;true;2;;1;;60
61;10;İäÏŞ  ÊæÈÇßÊÓ(  ĞÇÊ ÇáÔÇØÆíä ááÇÓÊËãÇÑ ÇáÓíÇÍí );;;true;2;;1;;61
62;13;İäÏŞ ØÑÇÈáÓ ÇáÏæáí;;;true;2;;1;;62
63;2;İäÏŞ ßæÑäËíÇ – ÈÇÈ ÃİÑíŞíÇ;;;true;2;;1;;63
64;18;İäÏŞ áíÈíÇ ááÅÓÊËãÇÑ ÇáÓíÇÍí;;;true;2;;1;;64
65;11;ãÔÑæÚ İäÏŞ ÏíßäÉ   ÇáÓíÇÍí;;;true;2;;1;;65
66;163;ÔÑßÉ  æÇÏí ÇáÑÈíÚ áÅäÊÇÌ ÇáÏŞíŞ æãÔÊŞÇÊå ÇáãÓÇåãÉ;;;true;1;;1;;66
67;164;ÔÑßÉ ÇáÕäÇÚÇÊ ÇáßåÑÈÇÆíÉ;;;true;1;;1;;67
68;15;ãÔÑæÚ ŞÑíÉ ÃæíÇ ÇáÓíÇÍíÉ( ÔÑßÉ ÏíÇÑ ÇáÈÍÑ ááÅÓÊËãÇÑ ÇáÓíÇÍí ÇáãÓÇåãÉ);;;true;2;;1;;68
69;20;ãÔÑæÚ ãÏíäÉ ÇáäÎíá ( ÔÑßÉ ÈÇáã ÓíÊí ÇáãÍÏæÏÉ );;;true;2;;1;;69
70;6;ãÔÑæÚ ÊÑãíã æÅÏÇÑÉ İäÏŞ ÇáæÏÇä;;;true;2;;1;;70
71;17;ãÔÑæÚ İäÏŞ ÇáÕÇİí ÇáÓíÇÍí;;;true;2;;1;;71
72;4;ãÕäÚ ÇáÌİÇÑÉ ááÕäÇÚÇÊ ÇáÛÏÇÆíÉ;;;true;1;;1;;72
73;160;ÊØæíÑ ãÕäÚ ÇáãÑÇÚí ÇáÎÕÈÉ ááãØÇÍä æÇáÃÚáÇİ;;;true;1;;1;;73
74;161;ãÕäÚ ÇáÑÈíÚ áÕäÇÚÉ ÇáÅÓİäÌ;;;true;1;;1;;74
75;29;ÔÑßÉ ÇáÓÏ áÕäÇÚÉ  ÇáÇÚáÇİ ÇáÍíæÇäíÉ ( ÊØæíÑ ãÕäÚ ÇáÓÏ áÕäÇÚÉ ÇáÃÚáÇİ    );;;true;1;;1;;75
76;165;ãÔÑæÚ ÊÑåæäÉ ÇáÒÑÇÚí;;;true;;;1;;76
77;166;İäÏŞ ÇáÔÑŞ;;;true;2;;1;;77
78;28;İäÏŞ ÇáİÕæá ÇáÇÑÈÚÉ;;;true;2;;1;;78
79;33;İäÏŞ ÇáÓÑÇíÇ;;;true;2;;1;;79
80;167;ÔÑßÉ ÇáŞÈÓ ááÎÏãÇÊ ÇáØÈíÉ ÇáãÓÇåãÉ ( ãÕÍÉ ØÈ æÌÑÇÍÉ ÇáÚíæä );;;true;3;;1;;80
81;168;ÊÔÇÑßíÉ  ÇáãÑßÒ ÇááíÈí ÇáÑæÓí áØÈ ÇáÚíæä æÌÑÇÍÉ ÇáÚíæä;;;true;3;;1;;81
82;31;ãÑßÈ ÇáÃäÏáÓ;;;true;2;;1;;82
83;25;ãÔÑæÚ ÈÇÈ ØÑÇÈáÓ 3;;;true;5;;1;;83
84;2;ãÔÑæÚ ÈÇÈ ØÑÇÈáÓ;;;true;2;;1;;84
85;26;ãÔÑæÚ ÊØæíÑ ãäØŞÉ ÇáİáÇÍ ÛÑÛæÑ;;;true;5;;1;;85
86;32;ãÕäÚ ÃÌÑ;;;true;1;;1;;86
87;30;ÇáÔÑßÉ ÇááíÈíÉ ÇáŞØÑíÉ ááÅÓÊËãÇÑ ÇáÓíÇÍí;;;true;2;;1;;87
88;22;ÈÑÌ 69 ÓÇÈŞÇğ;;;true;7;;1;;88
89;23;"ãÔÑæÚ ÅíæÇä ÇáÔŞŞ ÇáÅÏÇÑí
";;;true;7;;1;;89
90;24;ÔÑßÉ ÇáÈÑßÉ ááÒíÊ;;;true;1;;1;;90
91;27;ãæŞİ ÓíÇÑÇÊ ÔÑßÉ ÃæíÇ;;;true;5;;1;;91
92;200;ÔÑßÉ ÈÇÈ ÇáÑíÇä ááÇÓÊËãÇÑ æÇáÎÏãÇÊ ÇáÓíÇÍíÉ (İäÏŞ ÇáÑíÇä);;;true;2;;1;;92
93;201;ãÔÑæÚ İäÏŞ ÇáÑÍÇÈ ÇáÓíÇÍí;;;true;2;;1;;93
94;202;ÔÑßÉ ÇáäæÑÓ ÇáÇÈíÖ ááÇÓÊËãÇÑ ÇáÓíÇÍí (İäÏŞ ÇáäæÑÓ ÇáÓíÇÍí);;;true;2;;1;;94
95;203;ãÔÑæÚ İäÏŞ ÈÇáÎíÑ ÇáÓíÇÍí;;;true;2;;1;;95
96;204;ÔÑßÉ ÇáÎáíÍ ÇáÕÇİí ááÇÓÊËãÇÑ ÇáÓíÇÍí (İäÏŞ ÇáÎáíÌ ÇáÓíÇÍí);;;true;2;;1;;96
